activity	time	p	p_peak	p_smooth
Doing aerobics	1145.0	2.1811444179902428e-4	0.35659321398932636	0.3821926857755355
Hunting	1145.0	2.0363339198375393e-4	0.18736429729429938	0.21770081865056068
Bowling	1145.0	0.001193100172787735	0.967875654764045	0.9687055567296792
Rollerblading	1145.0	2.0856395033609312e-4	0.6549915584004468	0.6765297366085684
Golfing	1145.0	7.058581691351831e-4	0.30103809024977857	0.31817485743672863
Boating	1145.0	2.522259819974594e-4	0.3744897606974917	0.41652115142632073
Playing baseball	1145.0	2.5336467436675104e-4	0.5427106559332271	0.5778424783229982
Running	1150.0	7.710166454407223e-4	0.5260529316032659	0.5192629703735299
Hiking	1150.0	6.814534978336951e-5	0.1347124862232795	0.1347124862232795
Biking	1150.0	5.9711014068093e-4	0.7195905946951634	0.7303773774176493
